sample;annotation
курица без кожи;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
курица в маринаде;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O')]
курица голень;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
курица гриль;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
курица грудка;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
курица копченая;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
курица крылья;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
курица наша птичка;[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 18, 'O')]
курица по французски;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 20, 'O')]
курица приоскол;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
курица приосколье;[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]
курица производств;[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
курица производство;[(0, 6, 'B-TYPE'), (7, 19, 'B-BRAND')]
курица сахарный песок;[(0, 6, 'B-TYPE'), (7, 15, 'O'), (16, 21, 'O')]
курица тушка;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
курица у специях;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
курица целая;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
курица&;[(0, 7, 'B-TYPE')]
курица.;[(0, 7, 'B-TYPE')]
курице;[(0, 6, 'B-TYPE')]
курицей;[(0, 7, 'B-TYPE')]
курицп;[(0, 6, 'B-TYPE')]
курицу;[(0, 6, 'B-TYPE')]
курицы;[(0, 6, 'B-TYPE')]
курицы миратор;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
курищы;[(0, 6, 'B-TYPE')]
курк;[(0, 4, 'B-TYPE')]
курккма;[(0, 7, 'B-TYPE')]
куркма;[(0, 6, 'B-TYPE')]
куркссан;[(0, 8, 'B-TYPE')]
курку;[(0, 5, 'B-TYPE')]
куркума;[(0, 7, 'B-TYPE')]
курлассаны;[(0, 10, 'B-TYPE')]
курм;[(0, 4, 'B-TYPE')]
курмца;[(0, 6, 'B-TYPE')]
куро;[(0, 4, 'B-TYPE')]
куроп;[(0, 5, 'B-TYPE')]
куроссаны;[(0, 9, 'B-TYPE')]
курочка;[(0, 7, 'B-TYPE')]
курочкино;[(0, 9, 'B-TYPE')]
курпаты;[(0, 7, 'B-TYPE')]
куррца;[(0, 6, 'B-TYPE')]
курсан;[(0, 6, 'B-TYPE')]
курскхлеб рогалик;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
курскхлеб рогалики;[(0, 9, 'B-BRAND'), (10, 18, 'B-TYPE')]
курссан;[(0, 7, 'B-TYPE')]
курт;[(0, 4, 'B-TYPE')]
куртки, ветров;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
куртки, ветровк;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
куртное филе;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
куртошка;[(0, 8, 'B-TYPE')]
куртца;[(0, 6, 'B-TYPE')]
куртя;[(0, 5, 'B-TYPE')]
куртяевская;[(0, 11, 'B-BRAND')]
курц;[(0, 4, 'B-TYPE')]
курца;[(0, 5, 'B-TYPE')]
курциа;[(0, 6, 'B-TYPE')]
куры;[(0, 4, 'B-TYPE')]
куры м;[(0, 4, 'B-TYPE'), (5, 6, 'I-TYPE')]
куры мо;[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE')]
куры мор;[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE')]
куры ох;[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE')]
курятин;[(0, 7, 'B-TYPE')]
курятинка;[(0, 9, 'B-TYPE')]
кус;[(0, 3, 'B-TYPE')]
куск;[(0, 4, 'B-TYPE')]
кусков;[(0, 6, 'B-TYPE')]
кусковой;[(0, 8, 'B-TYPE')]
кусковой mait;[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
кусковой maitr;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
кусковой maitre;[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
кусковой марке;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
кусковой мистра;[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
кусковой мистраль;[(0, 8, 'B-TYPE'), (9, 17, 'B-BRAND')]
куску;[(0, 5, 'B-TYPE')]
кусо;[(0, 4, 'B-TYPE')]
кусоч;[(0, 5, 'B-TYPE')]
кусочеи;[(0, 7, 'B-TYPE')]
кусочк;[(0, 6, 'B-TYPE')]
кусочки;[(0, 7, 'B-TYPE')]
кусочки фруктовые;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
кусочкт;[(0, 7, 'B-TYPE')]
кутабе;[(0, 6, 'B-TYPE')]
кутчуп;[(0, 6, 'B-TYPE')]
куфир;[(0, 5, 'B-TYPE')]
кухмастер;[(0, 9, 'B-BRAND')]
кухоная вытяж;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
кухоная вытяжка;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
кухонной вытяж;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
кухонной вытяжки;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
кухонные комплек;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
кухонные комплект;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
кухонные комплекты;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
кухонный комбайн;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
кушины, фины;[(0, 7, 'O'), (8, 12, 'O')]
кхлеб;[(0, 5, 'B-TYPE')]
кцкуруза;[(0, 8, 'B-TYPE')]
кцкурузные;[(0, 10, 'B-TYPE')]
кцрино;[(0, 6, 'B-TYPE')]
кцрица;[(0, 6, 'B-TYPE')]
кша;[(0, 3, 'B-TYPE')]
кывник;[(0, 6, 'O')]
кыршки;[(0, 6, 'B-TYPE')]
кьлбаса;[(0, 7, 'B-TYPE')]
кьянти если;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
кэннон труcы;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
кэтчуп;[(0, 6, 'B-TYPE')]
кяйца;[(0, 5, 'B-TYPE')]
кярамель;[(0, 8, 'B-TYPE')]
кястрюль;[(0, 8, 'B-TYPE')]
л оба;[(0, 1, 'O'), (2, 5, 'O')]
ла9анья;[(0, 7, 'B-TYPE')]
лабша;[(0, 5, 'B-TYPE')]
лаваш;[(0, 5, 'B-TYPE')]
лаваш армянский;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
лаваш для ш;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 11, 'O')]
лаваш по дере;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O')]
лаваш тонкий;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лаваша;[(0, 6, 'B-TYPE')]
лаваше;[(0, 6, 'B-TYPE')]
лаваши;[(0, 6, 'B-TYPE')]
лаваши атр;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
лаваши атру;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
лаваши атрус;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
лавашики;[(0, 8, 'B-TYPE')]
лавашки;[(0, 7, 'B-TYPE')]
лавашу;[(0, 6, 'B-TYPE')]
лавашь;[(0, 6, 'B-TYPE')]
лаващ;[(0, 5, 'B-BRAND')]
лаврвый;[(0, 7, 'B-TYPE')]
лавро;[(0, 5, 'B-BRAND')]
лавровый лис;[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
лавровый лист;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
лавровыйлит;[(0, 11, 'B-TYPE')]
лавяш;[(0, 5, 'B-TYPE')]
лагма;[(0, 5, 'B-TYPE')]
лагман;[(0, 6, 'B-TYPE')]
ладога верму;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
ладога вермут;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
ладога дж;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
ладога джи;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
лаеваши;[(0, 7, 'B-TYPE')]
лазанг;[(0, 6, 'B-TYPE')]
лазания;[(0, 7, 'B-TYPE')]
лазанля;[(0, 7, 'B-TYPE')]
лазань;[(0, 6, 'B-TYPE')]
лазанье;[(0, 7, 'B-TYPE')]
лазаньч;[(0, 7, 'B-TYPE')]
лазанью;[(0, 7, 'B-TYPE')]
лазерная;[(0, 8, 'B-TYPE')]
лазнья;[(0, 6, 'B-TYPE')]
лазовское;[(0, 9, 'B-BRAND')]
лаиит;[(0, 5, 'O')]
лаите;[(0, 5, 'B-TYPE')]
лаиц;[(0, 4, 'B-TYPE')]
лайм artfru;[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
лайм artfrui;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
лайм artfruit;[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
лайм фреш;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
лайма;[(0, 5, 'B-TYPE')]
лаймон фреш;[(0, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
лаймон фреш ош;[(0, 6, 'B-BRAND'), (7, 11, 'I-BRAND'), (12, 14, 'O')]
лаймы;[(0, 5, 'B-TYPE')]
лайт;[(0, 4, 'B-TYPE')]
лак для водос;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
лак для воло;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
лак для волом;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
лак для волос;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
лак для волос тафт;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O'), (14, 18, 'B-BRAND')]
лак с блесками;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
лаком;[(0, 5, 'B-BRAND')]
лакомка;[(0, 7, 'B-BRAND')]
лакомка корзиноч;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
лакомка корзиночк;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
лакомка то;[(0, 7, 'B-BRAND'), (8, 10, 'B-TYPE')]
лакомка торт;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
лакомое;[(0, 7, 'B-TYPE')]
лакомств;[(0, 8, 'B-TYPE')]
лакомства дл собак;[(0, 9, 'B-TYPE'), (10, 12, 'O'), (13, 18, 'O')]
лакомства для кошек;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
лакомства доя соьак;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
лакомство;[(0, 9, 'B-TYPE')]
лакомство для кошки;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
лакомство для собак;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
лактоз;[(0, 6, 'B-TYPE')]
лактоза;[(0, 7, 'B-TYPE')]
лактозно;[(0, 8, 'B-TYPE')]
ламбер;[(0, 6, 'B-BRAND')]
ламп;[(0, 4, 'B-TYPE')]
лампада;[(0, 7, 'B-TYPE')]
лампадка;[(0, 8, 'B-TYPE')]
лампочеи;[(0, 8, 'B-TYPE')]
лампочк;[(0, 7, 'B-TYPE')]
лампочка;[(0, 8, 'B-TYPE')]
лампочке;[(0, 8, 'B-TYPE')]
лампочкт;[(0, 8, 'B-TYPE')]
лампочххка;[(0, 10, 'B-TYPE')]
лампы обычн;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
лампы обычные;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
лампы прочи;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
лампы прочие;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лампы энергосберегающ;[(0, 5, 'B-TYPE'), (6, 21, 'I-TYPE')]
лампы энергосберегающи;[(0, 5, 'B-TYPE'), (6, 22, 'I-TYPE')]
лампы энергосберегающие;[(0, 5, 'B-TYPE'), (6, 23, 'I-TYPE')]
ламьер;[(0, 6, 'B-TYPE')]
лана для одежды;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
ланселот;[(0, 8, 'B-BRAND')]
ланч;[(0, 4, 'B-TYPE')]
лапаша;[(0, 6, 'B-TYPE')]
лапга;[(0, 5, 'B-TYPE')]
лапешки;[(0, 7, 'B-TYPE')]
лапка;[(0, 5, 'B-TYPE')]
лапки;[(0, 5, 'B-TYPE')]
лапландия;[(0, 9, 'B-BRAND')]
лаплчка;[(0, 7, 'B-TYPE')]
лапмадка;[(0, 8, 'B-TYPE')]
лапмпочка;[(0, 9, 'B-TYPE')]
лапса;[(0, 5, 'B-TYPE')]
лапша;[(0, 5, 'B-TYPE')]
лапша быстрого приготовл;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 24, 'I-TYPE')]
лапша быстрого приготрвления;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 28, 'I-TYPE')]
лапша вок;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
лапша гречневая;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
лапша для бес;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
лапша для супа;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
лапша домашняя;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
лапша залить кипятком;[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 21, 'O')]
лапша караван сарай;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 19, 'I-BRAND')]
лапша лагман;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лапша острая;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лапша паутинка;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
лапша по китайски;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 17, 'O')]
лапша рамен;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
лапша роллтон;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
лапша ролтон;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лапша ролтон яичная;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 19, 'I-TYPE')]
лапша с гибами;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
лапша том ям;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
лапша удон;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
лапша яичная;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
лапшаш;[(0, 6, 'B-TYPE')]
лапшв;[(0, 5, 'B-TYPE')]
лапшна;[(0, 6, 'B-TYPE')]
лапшп;[(0, 5, 'B-TYPE')]
лапшр;[(0, 5, 'B-TYPE')]
лапшу;[(0, 5, 'B-TYPE')]
лапща;[(0, 5, 'B-TYPE')]
ларсен табак;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
ласка для стирки;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
ласка для шерсти;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
ластик;[(0, 6, 'B-TYPE')]
ласточка;[(0, 8, 'B-BRAND')]
ласточки;[(0, 8, 'B-TYPE')]
лате;[(0, 4, 'B-TYPE')]
латона;[(0, 6, 'B-BRAND')]
латт;[(0, 4, 'B-BRAND')]
латтэ;[(0, 5, 'B-TYPE')]
лбуза;[(0, 5, 'B-TYPE')]
лвк;[(0, 3, 'B-TYPE')]
лвощи;[(0, 5, 'B-TYPE')]
лвсяные;[(0, 7, 'B-TYPE')]
лгти;[(0, 4, 'O')]
лгурец;[(0, 6, 'B-TYPE')]
леб;[(0, 3, 'B-TYPE')]
лебенец;[(0, 7, 'B-TYPE')]
лебешки;[(0, 7, 'B-TYPE')]
лебный;[(0, 6, 'B-TYPE')]
лебок;[(0, 5, 'O')]
левушка;[(0, 7, 'B-BRAND')]
легки;[(0, 5, 'B-TYPE')]
легкий;[(0, 6, 'B-TYPE')]
легкий сыр;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
лего;[(0, 4, 'B-BRAND')]
лед фруктовый;[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE')]
ледденцы;[(0, 8, 'B-TYPE')]
ледеецы;[(0, 7, 'B-TYPE')]
леден;[(0, 5, 'B-TYPE')]
ледене;[(0, 6, 'B-TYPE')]
леденец;[(0, 7, 'B-TYPE')]
леденнц;[(0, 7, 'B-TYPE')]
леденц;[(0, 6, 'B-TYPE')]
леденцы ам ням;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 14, 'O')]
леденцы мини;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
леденцы от горла;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
леденцы от кашля;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
леденцыл;[(0, 8, 'B-TYPE')]
ледецы;[(0, 6, 'B-TYPE')]
ледкнец;[(0, 7, 'B-TYPE')]
ледкнцы;[(0, 7, 'B-TYPE')]
ледянцы;[(0, 7, 'B-TYPE')]
лежаки, доми;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
лежаки, домик;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
лежаки, домики;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
леженец;[(0, 7, 'B-TYPE')]
леженцы;[(0, 7, 'B-TYPE')]
лезвия;[(0, 6, 'B-TYPE')]
лейкопластыр;[(0, 12, 'B-TYPE')]
лейкопластырь;[(0, 13, 'B-TYPE')]
лемонад;[(0, 7, 'B-TYPE')]
лен;[(0, 3, 'O')]
ленинградское;[(0, 13, 'B-BRAND')]
лент;[(0, 4, 'B-TYPE')]
леовит;[(0, 6, 'B-BRAND')]
леп5шкп;[(0, 7, 'B-TYPE')]
лепегка;[(0, 7, 'B-TYPE')]
лепелка;[(0, 7, 'B-TYPE')]
лепесток;[(0, 8, 'B-TYPE')]
лепехи;[(0, 6, 'B-TYPE')]
лепешеа;[(0, 7, 'B-TYPE')]
лепешек;[(0, 7, 'B-TYPE')]
лепешеп;[(0, 7, 'B-TYPE')]
лепешка роти;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
лепешка с базиликом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 19, 'O')]
лепешка с сыром;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
лепешка.;[(0, 8, 'B-TYPE')]
лепешказ;[(0, 8, 'B-TYPE')]
лепешкау;[(0, 8, 'B-TYPE')]
лепешки карав;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
лепешки каравай;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
лепешкиж;[(0, 8, 'B-TYPE')]
лепешкки;[(0, 8, 'B-TYPE')]
лепешкм;[(0, 7, 'B-TYPE')]
лепешкп;[(0, 7, 'B-TYPE')]
лепешкс;[(0, 7, 'B-TYPE')]
лепешкт;[(0, 7, 'B-TYPE')]
лепешку;[(0, 7, 'B-TYPE')]
лепешу;[(0, 6, 'B-TYPE')]
лепешум;[(0, 7, 'B-TYPE')]
лепиёшка;[(0, 8, 'B-TYPE')]
лепк;[(0, 4, 'B-TYPE')]
лепкшка;[(0, 7, 'B-TYPE')]
лепошка;[(0, 7, 'B-TYPE')]
леппшки;[(0, 7, 'B-TYPE')]
лепшки;[(0, 6, 'B-TYPE')]
лепёшка;[(0, 7, 'B-TYPE')]
лепёшки;[(0, 7, 'B-TYPE')]
лепёшку с базиликом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 19, 'O')]
лесной;[(0, 6, 'B-TYPE')]
лесные ягоды;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
лесонад;[(0, 7, 'B-TYPE')]
летняя ягода;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
леук;[(0, 4, 'B-TYPE')]
лече;[(0, 4, 'B-TYPE')]
лечебн;[(0, 6, 'B-TYPE')]
лечебные;[(0, 8, 'B-TYPE')]
лечение волос;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
лечло;[(0, 5, 'B-TYPE')]
лечо e;[(0, 4, 'B-TYPE'), (5, 6, 'B-BRAND')]
лечо ec;[(0, 4, 'B-TYPE'), (5, 7, 'B-BRAND')]
лечо eco;[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND')]
лечо iberi;[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
лечо iberic;[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
лечо огородник;[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND')]
лечо огороднико;[(0, 4, 'B-TYPE'), (5, 15, 'B-BRAND')]
лечо огородников;[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND')]
лечо8;[(0, 5, 'B-TYPE')]
лещ;[(0, 3, 'B-TYPE')]
леь;[(0, 3, 'O')]
леяьмолоко;[(0, 10, 'O')]
лзанья;[(0, 6, 'B-TYPE')]
либрес;[(0, 6, 'B-BRAND')]
либресс;[(0, 7, 'B-BRAND')]
ливенрые;[(0, 8, 'B-TYPE')]
ливерн;[(0, 6, 'B-TYPE')]
ливерна;[(0, 7, 'B-BRAND')]
ливерная дивеев;[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
ливерная колбаса;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
ливерны;[(0, 7, 'B-TYPE')]
ливерные;[(0, 8, 'B-TYPE')]
ливерные д;[(0, 8, 'B-TYPE'), (9, 10, 'B-BRAND')]
ливерные дс;[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
ливерные дск;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
ликен;[(0, 5, 'B-TYPE')]
ликер nemiro;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
ликер nemirof;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
ликер nemiroff;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
ликер белу;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
ликер белуг;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
ликер белуга;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
ликеры;[(0, 6, 'B-TYPE')]
ликеры абрау-дюр;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
ликеры абрау-дюрсо;[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
ликёро-водочн;[(0, 13, 'B-TYPE')]
ликёро-водочны;[(0, 14, 'B-TYPE')]
ликёро-водочные;[(0, 15, 'B-TYPE')]
лиманадо;[(0, 8, 'B-TYPE')]
лиминад;[(0, 7, 'B-TYPE')]
лимион;[(0, 6, 'B-TYPE')]
лимн;[(0, 4, 'B-TYPE')]
лимнад;[(0, 6, 'B-TYPE')]
лимоад;[(0, 6, 'B-TYPE')]
лимок;[(0, 5, 'B-TYPE')]
лимон;[(0, 5, 'B-TYPE')]
лимон би;[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
лимон лайм;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
лимон тенд;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
лимон тендер;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
лимон.;[(0, 6, 'B-TYPE')]
лимонад;[(0, 7, 'B-TYPE')]
лимонад в стекле;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
лимонад кока кола;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
лимонад с ананасом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
лимонад тархун;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
лимонад фреш бар;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND'), (13, 16, 'I-BRAND')]
лимонад.;[(0, 8, 'B-TYPE')]
лимонадия;[(0, 9, 'B-TYPE')]
лимонадны;[(0, 9, 'B-TYPE')]
лимонадово;[(0, 10, 'B-TYPE')]
лимонадф;[(0, 8, 'B-TYPE')]
лимонадш;[(0, 8, 'B-TYPE')]
лимонадь;[(0, 8, 'B-TYPE')]
лимонаж;[(0, 7, 'B-TYPE')]
лимонат;[(0, 7, 'B-TYPE')]
лимоная кислота;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
лимонг;[(0, 6, 'B-TYPE')]
лимонд;[(0, 6, 'B-TYPE')]
лимонид;[(0, 7, 'B-TYPE')]
лимонка;[(0, 7, 'B-TYPE')]
лимонкд;[(0, 7, 'B-TYPE')]
лимонн;[(0, 6, 'B-TYPE')]
лимонна;[(0, 7, 'B-TYPE')]
лимоннаая;[(0, 9, 'B-TYPE')]
лимоннач;[(0, 8, 'B-TYPE')]
лимонная;[(0, 8, 'B-TYPE')]
лимонная кислота;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
лимонная кислота в жидком;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 25, 'O')]
лимонная приправа;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
лимоннвй;[(0, 8, 'B-TYPE')]
лимонны;[(0, 7, 'B-TYPE')]
лимонные;[(0, 8, 'B-TYPE')]
лимонные дольки;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
лимоновая;[(0, 9, 'B-TYPE')]
лимоновый;[(0, 9, 'B-TYPE')]
лимонод;[(0, 7, 'B-TYPE')]
лимоном;[(0, 7, 'B-TYPE')]
лимонп;[(0, 6, 'B-TYPE')]
лимонпд;[(0, 7, 'B-TYPE')]
лимонсо;[(0, 7, 'B-TYPE')]
лимонф;[(0, 6, 'B-TYPE')]
лимонх;[(0, 6, 'B-TYPE')]
лимончи;[(0, 7, 'B-TYPE')]
лимончик;[(0, 8, 'B-TYPE')]
лимончики;[(0, 9, 'B-TYPE')]
лимончикт;[(0, 9, 'B-TYPE')]
лимонщ;[(0, 6, 'B-TYPE')]
лимоны б;[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
лимоны би;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
лимоны био;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
лимоны тебе;[(0, 6, 'B-TYPE'), (7, 11, 'O')]
лимоны тенд;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
лимоны тенде;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
лимоный;[(0, 7, 'B-TYPE')]
лиморад;[(0, 7, 'B-TYPE')]
лимтья;[(0, 6, 'B-TYPE')]
линия;[(0, 5, 'B-TYPE')]
лины;[(0, 4, 'O')]
лиомн;[(0, 5, 'B-TYPE')]
